,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
0,1,Apr 2,SFG,SDP,"W,3-2",CG,5,3,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.333,.600,1.333,1.933,3,0.9,0.109,.96,0.07%,LF,1,0.109
1,2,Apr 4,SFG,SDP,"W,8-7",CG,5,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.286,.500,.857,1.357,3,1.26,0.112,1.37,0.07%,LF,1,0.221
2,3,Apr 5,SFG,SDP,"W,8-2",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.429,.636,1.065,3,0.48,0.004,.54,0.00%,LF,1,0.225
3,4,Apr 6,SFG,LAD,"L,1-10",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.333,.467,.800,3,0.38,-0.037,.45,-0.03%,LF,1,0.188
4,5,Apr 7,SFG,LAD,"L,4-10",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.158,.273,.368,.641,3,0.53,-0.017,.62,-0.01%,LF,1,0.17099999999999999
5,6,Apr 8,SFG,LAD,"W,8-3",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.125,.222,.292,.514,3,0.43,-0.077,.49,-0.05%,LF,1,0.09399999999999999
6,7,Apr 10,SFG,SDP,"W,11-6",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.103,.188,.241,.429,3,0.46,-0.075,.55,-0.05%,LF,1,0.01899999999999999
7,9 (1),Apr 12,SFG,SDP,"L,3-8",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.125,.222,.344,.566,3,0.65,0.095,.84,0.07%,LF,2,0.11399999999999999
8,10,Apr 13,SFG,MIL,"W,7-3",CG,5,3,1,2,1,0,1,3,1,0,0,0,0,1,0,0,0,0,.171,.268,.486,.754,3,1.07,0.121,1.18,0.08%,LF,3,0.235
9,11,Apr 14,SFG,MIL,"L,6-11",CG,5,4,1,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,.205,.304,.590,.894,3,1.28,0.135,1.50,0.09%,LF,4,0.37
10,12,Apr 15,SFG,MIL,"L,4-7",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.214,.320,.643,.963,3,0.54,0.102,.61,0.07%,LF,5,0.472
