,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
1,"Monday, Apr 2",SEA,Home,OAK,W,5.0,4.0,9.0,1-0,1.0,up 0.5,Rhodes,Mecir,Sasaki,3:23,N,45911.0,1.20,1,,1
2,"Tuesday, Apr 3",SEA,Home,OAK,L,1.0,5.0,9.0,1-1,1.0,Tied,Zito,Halama,None,2:57,N,27212.0,1.23,-1,,1
3,"Wednesday, Apr 4",SEA,Home,OAK,W,10.0,2.0,9.0,2-1,1.0,Tied,Sele,Heredia,None,3:07,D,31382.0,1.21,1,,2
4,"Friday, Apr 6",SEA,@,TEX,W,9.0,7.0,10.0,3-1,1.0,up 1.0,Rhodes,Zimmerman,Sasaki,3:43,N,34684.0,1.24,2,,3
5,"Saturday, Apr 7",SEA,@,TEX,W,6.0,5.0,9.0,4-1,1.0,up 2.0,Franklin,Davis,Sasaki,3:27,N,41651.0,1.26,3,,4
6,"Sunday, Apr 8",SEA,@,TEX,L,4.0,5.0,9.0,4-2,1.0,up 1.0,Venafro,Paniagua,Crabtree,3:18,D,44306.0,1.35,-1,,4
7,"Tuesday, Apr 10",SEA,@,OAK,W,5.0,1.0,9.0,5-2,1.0,up 1.5,Halama,Heredia,Sasaki,3:22,N,14880.0,1.29,1,,5
8,"Wednesday, Apr 11",SEA,@,OAK,W,3.0,0.0,9.0,6-2,1.0,up 2.0,Sele,Mecir,Sasaki,2:29,N,16652.0,1.32,2,,6
9,"Thursday, Apr 12",SEA,@,OAK,W,7.0,3.0,9.0,7-2,1.0,up 2.0,Moyer,Hudson,None,2:57,D,15414.0,1.34,3,,7
10,"Friday, Apr 13",SEA,@,ANA,L,3.0,4.0,9.0,7-3,1.0,up 1.0,Hasegawa,Sasaki,None,2:31,N,31087.0,1.42,-1,,7
11,"Saturday, Apr 14",SEA,@,ANA,W,2.0,1.0,9.0,8-3,1.0,up 2.0,Garcia,Valdez,Sasaki,2:52,N,34780.0,1.44,1,,8
12,"Sunday, Apr 15",SEA,@,ANA,W,7.0,5.0,9.0,9-3,1.0,up 2.5,Paniagua,Hasegawa,Nelson,2:55,D,20733.0,1.48,2,,9
13,"Monday, Apr 16",SEA,Home,TEX,W,9.0,7.0,9.0,10-3,1.0,up 3.5,Franklin,Glynn,None,3:21,N,45657.0,1.47,3,,10
14,"Tuesday, Apr 17",SEA,Home,TEX,W,6.0,4.0,9.0,11-3,1.0,up 4.5,Moyer,Helling,Sasaki,2:57,N,34536.0,1.43,4,,11
15,"Wednesday, Apr 18",SEA,Home,TEX,L,6.0,8.0,9.0,11-4,1.0,up 3.5,Davis,Tomko,Zimmerman,3:34,N,48823.0,1.45,-1,,11
16,"Thursday, Apr 19",SEA,Home,ANA,W,3.0,2.0,9.0,12-4,1.0,up 4.5,Garcia,Valdez,Sasaki,2:40,N,25016.0,1.43,1,,12
17,"Friday, Apr 20",SEA,Home,ANA,W,4.0,1.0,9.0,13-4,1.0,up 4.5,Halama,Rapp,Sasaki,2:23,N,38518.0,1.40,2,,13
18,"Saturday, Apr 21",SEA,Home,ANA,W,5.0,2.0,9.0,14-4,1.0,up 5.5,Moyer,Washburn,Nelson,3:11,D,39274.0,1.35,3,,14
19,"Sunday, Apr 22",SEA,Home,ANA,W,5.0,0.0,9.0,15-4,1.0,up 5.5,Sele,Ortiz,None,2:56,D,44192.0,1.36,4,,15
20,"Tuesday, Apr 24",SEA,@,NYY,W,7.0,5.0,9.0,16-4,1.0,up 6.5,Garcia,Stanton,Sasaki,2:50,N,29522.0,1.13,5,,16
21,"Wednesday, Apr 25",SEA,@,NYY,W,7.0,5.0,9.0,17-4,1.0,up 7.5,Charlton,Pettitte,Sasaki,3:35,N,23684.0,1.07,6,,17
22,"Thursday, Apr 26",SEA,@,NYY,W,7.0,3.0,9.0,18-4,1.0,up 8.0,Moyer,Mussina,Rhodes,3:39,N,30218.0,1.05,7,,18
23,"Friday, Apr 27",SEA,@,CHW,W,8.0,3.0,9.0,19-4,1.0,up 8.0,Sele,Baldwin,Sasaki,3:22,N,16276.0,.96,8,,19
24,"Saturday, Apr 28",SEA,@,CHW,W,8.0,5.0,9.0,20-4,1.0,up 9.0,Tomko,Biddle,Sasaki,3:38,N,25542.0,.92,9,,20
25,"Sunday, Apr 29",SEA,@,CHW,L,1.0,2.0,14.0,20-5,1.0,up 9.0,Glover,Franklin,None,4:03,D,25442.0,.84,-1,,20
26,"Tuesday, May 1",SEA,Home,BOS,L,0.0,2.0,9.0,20-6,1.0,up 9.0,Martinez,Halama,Arrojo,2:43,N,36642.0,.89,-2,,20
27,"Wednesday, May 2",SEA,Home,BOS,W,5.0,1.0,9.0,21-6,1.0,up 9.0,Sele,Nomo,None,2:45,N,40170.0,.95,1,,21
28,"Thursday, May 3",SEA,Home,BOS,W,10.0,3.0,9.0,22-6,1.0,up 9.0,Moyer,Castillo,None,3:02,N,32513.0,.90,2,,22
29,"Friday, May 4",SEA,Home,TOR,L,3.0,8.0,9.0,22-7,1.0,up 8.0,Parris,Abbott,None,3:08,N,42284.0,.86,-1,,22
30,"Saturday, May 5",SEA,Home,TOR,W,7.0,5.0,9.0,23-7,1.0,up 9.0,Rhodes,Borbon,Sasaki,3:13,D,42894.0,.93,1,,23
31,"Sunday, May 6",SEA,Home,TOR,L,3.0,11.0,9.0,23-8,1.0,up 8.0,Carpenter,Halama,None,2:43,D,45080.0,.87,-1,,23
