,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
0,1,Apr 11,NYY,MIN,"L,0-6",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.000,.000,.000,.000,5,0.91,0.019,1.95,0.02%,RF,0,0.019
1,2,Apr 15,NYY,KCA,"W,5-3",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.167,.286,.167,.452,6,0.56,0.042,1.04,0.05%,RF,0,0.061
2,3,Apr 17,NYY,KCA,"W,3-0",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.111,.273,.111,.384,5,0.4,-0.02,.80,-0.02%,RF,0,0.040999999999999995
3,4,Apr 20 (1),NYY,LAA,"W,7-5",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.083,.267,.083,.350,5,0.49,-0.024,1.02,-0.03%,RF,0,0.016999999999999994
4,5,Apr 20 (2),NYY,LAA,"W,4-2",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.263,.125,.388,5,0.89,0.032,2.03,0.04%,RF,0,0.048999999999999995
5,6,Apr 21,NYY,BAL,"W,4-2",CG,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.167,.348,.167,.514,7,0.83,0.1,2.02,0.15%,RF,0,0.149
6,7,Apr 22 (1),NYY,BAL,"L,3-5",CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,.143,.296,.143,.439,5,1.83,-0.218,4.72,-0.34%,RF,0,-0.069
7,8,Apr 22 (2),NYY,BAL,"T,5-5",CG(7),4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.125,.290,.125,.415,5,0.84,-0.015,2.09,-0.02%,RF,0,-0.084
8,9,Apr 23,NYY,BAL,"L,1-4",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.148,.314,.148,.462,5,0.83,0.023,2.18,0.04%,RF,0,-0.061000000000000006
9,10,Apr 24,NYY,DET,"L,3-4",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161,.308,.161,.469,3,0.99,-0.078,2.54,-0.12%,RF,0,-0.139
10,11,Apr 26,NYY,DET,"W,13-11",CG(10),5,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.200,.341,.286,.627,7,1.45,0.001,3.61,0.00%,RF,1,-0.138
11,12,Apr 27,NYY,CLE,"W,4-3",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.189,.354,.270,.624,7,1.26,-0.007,3.27,-0.01%,RF,1,-0.14500000000000002
