,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count
0,1,Apr 12,NYY,PHA,"W,8-3",GS-6,3,3,0,0,0,0,0,0,0,0,2,0,0,,0,,0,0,.000,.000,.000,.000,3,1.14,-0.160,2.89,-0.25%,RF,0
1,2,Apr 13,NYY,PHA,"W,10-4",CG,5,4,2,2,0,0,0,0,1,0,1,0,0,,0,,0,0,.286,.375,.286,.661,3,.78,0.065,2.11,0.11%,RF,0
2,3,Apr 14,NYY,PHA,"T,9-9",CG(10),5,3,2,1,0,0,0,0,2,0,0,0,0,,0,,0,0,.300,.462,.300,.762,3,1.53,0.001,4.33,0.00%,RF,0
3,4,Apr 15,NYY,PHA,"W,6-3",CG,5,4,2,2,0,0,1,1,1,0,1,0,0,,0,,0,0,.357,.500,.571,1.071,3,.48,0.114,1.37,0.20%,RF,1
4,5,Apr 16,NYY,BOS,"W,5-2",CG,4,2,2,0,0,0,0,0,2,0,0,0,0,,0,,0,0,.313,.500,.500,1.000,3,1.39,0.014,4.16,0.03%,RF,1
5,6,Apr 17,NYY,BOS,"W,14-2",CG,5,3,2,1,0,0,0,0,2,0,0,0,0,,0,,0,0,.316,.519,.474,.992,3,.40,0.020,1.28,0.04%,RF,1
6,7,Apr 18,NYY,BOS,"W,3-0",CG,4,3,1,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.318,.516,.455,.971,3,.66,0.041,2.22,0.08%,RF,1
7,8,Apr 19,NYY,BOS,"L,3-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.269,.457,.385,.842,3,1.12,-0.153,4.03,-0.33%,RF,1
8,9,Apr 20,NYY,PHA,"L,5-8",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.233,.410,.333,.744,3,.88,-0.054,3.18,-0.12%,LF,1
9,10,Apr 21,NYY,PHA,"W,13-6",CG,6,2,2,1,0,0,0,0,4,0,0,0,0,,0,,0,0,.250,.467,.344,.810,3,.94,0.087,3.11,0.17%,LF,1
10,11,Apr 23,NYY,PHA,"L,3-4",CG,5,5,1,1,0,0,1,1,0,0,0,0,0,,0,,0,0,.243,.440,.405,.845,3,1.32,-0.066,4.74,-0.14%,LF,2
11,12,Apr 24,NYY,WSH,"W,6-2",CG,5,4,1,3,0,0,1,1,1,1,0,0,0,,0,,0,1,.293,.473,.512,.985,3,.55,0.153,1.84,0.31%,RF,3
12,13,Apr 25,NYY,WSH,"L,4-5",CG,5,3,0,0,0,0,0,0,2,0,2,0,0,,0,,0,0,.273,.467,.477,.944,3,1.70,-0.060,6.01,-0.13%,RF,3
13,14,Apr 29,NYY,BOS,"W,9-0",CG,5,4,3,3,1,0,1,3,1,0,0,0,0,,0,,0,0,.313,.492,.583,1.076,3,.44,-0.002,1.36,0.00%,LF,4
14,15,Apr 30,NYY,BOS,"L,2-3",CG,4,3,0,2,0,0,0,0,1,0,0,0,0,,0,,0,0,.333,.507,.588,1.095,3,.97,0.030,3.23,0.06%,LF,4
16,16,May 1,NYY,PHA,"W,7-3",CG,4,4,2,2,0,0,2,3,0,0,0,0,0,,0,,0,0,.345,.507,.691,1.198,3,1.31,0.152,4.68,0.33%,RF,6
17,17,May 2,NYY,WSH,"W,9-6",CG,5,5,1,1,0,0,0,0,0,0,2,0,0,,0,,0,0,.333,.487,.650,1.137,3,.58,0.014,2.12,0.03%,RF,6
18,18,May 3,NYY,WSH,"W,6-4",CG,5,4,0,1,0,0,0,1,1,0,2,0,0,,0,,0,0,.328,.482,.625,1.107,3,1.64,0.056,6.08,0.13%,RF,6
