,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
1,"Tuesday, Apr 11",NYY,Home,MIN,L,0.0,6.0,9.0,0-1,6.0,1.0,Ramos,Ford,None,2:27,D,14607.0,2.15,-1,,0,-6.0
2,"Saturday, Apr 15",NYY,Home,KCA,W,5.0,3.0,9.0,1-1,4.0,0.5,Turley,Daley,Stafford,2:54,D,11802.0,1.85,1,,1,-4.0
3,"Monday, Apr 17",NYY,Home,KCA,W,3.0,0.0,9.0,2-1,3.0,1.0,Ford,Walker,None,2:21,D,1947.0,2.02,2,1961-04-16 (Rain),2,-1.0
4,"Thursday, Apr 20 (1)",NYY,Home,LAA,W,7.0,5.0,9.0,3-1,2.0,0.5,Ditmar,Grba,Stafford,2:37,D,,2.11,3,1961-04-19 (Rain),3,1.0
5,"Thursday, Apr 20 (2)",NYY,Home,LAA,W,4.0,2.0,9.0,4-1,2.0,0.5,Turley,Garver,Arroyo,2:33,D,7059.0,2.28,4,,4,3.0
6,"Friday, Apr 21",NYY,@,BAL,W,4.0,2.0,9.0,5-1,1.0,Tied,Ford,Barber,None,2:17,N,12368.0,2.43,5,,5,5.0
7,"Saturday, Apr 22 (1)",NYY,@,BAL,L,3.0,5.0,9.0,5-2,3.0,0.5,Wilhelm,Duren,None,2:17,D,12536.0,2.58,-1,,5,3.0
8,"Saturday, Apr 22 (2)",NYY,@,BAL,T,5.0,5.0,7.0,5-2,3.0,0.5,None,None,None,2:09,N,14126.0,2.49,-1,,5,3.0
9,"Sunday, Apr 23",NYY,@,BAL,L,1.0,4.0,9.0,5-3,3.0,2.0,Estrada,McDevitt,Hall,2:40,D,18704.0,2.62,-2,,5,0.0
10,"Monday, Apr 24",NYY,@,DET,L,3.0,4.0,9.0,5-4,4.0,3.0,Lary,Turley,None,2:19,D,5662.0,2.57,-3,,5,-1.0
11,"Wednesday, Apr 26",NYY,@,DET,W,13.0,11.0,10.0,6-4,3.0,2.0,Arroyo,Aguirre,None,3:20,D,4676.0,2.49,1,,6,1.0
12,"Thursday, Apr 27",NYY,Home,CLE,W,4.0,3.0,9.0,7-4,3.0,1.5,Ditmar,Antonelli,None,1:58,D,8897.0,2.60,2,,7,2.0
13,"Saturday, Apr 29",NYY,Home,CLE,W,4.0,2.0,9.0,8-4,2.0,1.0,Terry,Perry,Arroyo,2:10,D,14624.0,2.66,3,,8,4.0
14,"Sunday, Apr 30 (1)",NYY,@,WSA,W,4.0,3.0,9.0,9-4,2.0,1.0,Ford,Donovan,Arroyo,2:42,D,,2.97,4,,9,5.0
15,"Sunday, Apr 30 (2)",NYY,@,WSA,L,1.0,2.0,9.0,9-5,2.0,1.0,Woodeshick,Sheldon,Burnside,2:14,D,21904.0,3.17,-1,,9,4.0
16,"Tuesday, May 2",NYY,@,MIN,W,6.0,4.0,10.0,10-5,2.0,1.0,Coates,Pascual,Arroyo,3:00,D,16669.0,3.25,1,,10,6.0
17,"Wednesday, May 3",NYY,@,MIN,W,7.0,3.0,9.0,11-5,1.0,Tied,Turley,Ramos,None,2:32,D,18158.0,3.54,2,,11,10.0
18,"Thursday, May 4",NYY,@,MIN,W,5.0,2.0,9.0,12-5,1.0,Tied,Ford,Kaat,Coates,2:23,D,18179.0,3.81,3,,12,13.0
19,"Friday, May 5",NYY,@,LAA,W,5.0,4.0,9.0,13-5,1.0,Tied,McDevitt,Clevenger,Arroyo,2:57,N,17801.0,3.72,4,,13,14.0
20,"Saturday, May 6",NYY,@,LAA,L,3.0,5.0,9.0,13-6,2.0,1.0,Grba,Ditmar,None,2:15,N,19865.0,3.71,-1,,13,12.0
21,"Sunday, May 7",NYY,@,LAA,L,3.0,5.0,9.0,13-7,2.0,2.5,Kline,Coates,Clevenger,2:40,D,19722.0,3.85,-2,,13,10.0
22,"Tuesday, May 9",NYY,@,KCA,L,4.0,5.0,9.0,13-8,2.0,3.0,Herbert,Arroyo,Archer,2:22,N,13623.0,3.40,-3,,13,9.0
23,"Wednesday, May 10",NYY,@,KCA,W,9.0,4.0,9.0,14-8,2.0,3.0,Clevenger,Daley,None,2:32,N,15986.0,3.45,1,,14,14.0
24,"Friday, May 12",NYY,Home,DET,L &V,3.0,4.0,9.0,14-9,2.0,3.5,Lary,Coates,None,3:09,N,23556.0,4.09,-1,,14,13.0
25,"Saturday, May 13",NYY,Home,DET,L,3.0,8.0,9.0,14-10,2.0,4.5,Regan,Turley,None,2:45,D,18036.0,3.87,-2,,14,8.0
26,"Sunday, May 14 (1)",NYY,Home,DET,W,5.0,4.0,11.0,15-10,2.0,2.5,Coates,Aguirre,None,3:30,D,,3.74,1,,15,9.0
27,"Sunday, May 14 (2)",NYY,Home,DET,W,8.0,6.0,9.0,16-10,2.0,2.5,Coates,Bunning,None,2:39,D,40968.0,3.99,2,,16,11.0
28,"Tuesday, May 16",NYY,Home,WSA,L,2.0,3.0,9.0,16-11,2.0,4.0,Woodeshick,Stafford,Sisler,2:26,N,10050.0,3.11,-1,,16,10.0
29,"Wednesday, May 17",NYY,Home,WSA,L,7.0,8.0,9.0,16-12,2.0,5.0,Burnside,Ditmar,Gabler,2:59,D,6197.0,2.92,-2,,16,9.0
30,"Friday, May 19",NYY,@,CLE,L,7.0,9.0,9.0,16-13,2.0,5.0,Latman,Clevenger,Allen,2:55,N,21240.0,2.95,-3,,16,7.0
31,"Saturday, May 20",NYY,@,CLE,L,3.0,4.0,9.0,16-14,4.0,5.0,Funk,Stafford,None,2:38,D,8431.0,2.69,-4,,16,6.0
32,"Sunday, May 21 (1)",NYY,Home,BAL,W,4.0,2.0,9.0,17-14,3.0,5.5,Ford,Estrada,None,2:22,D,,2.37,1,,17,8.0
33,"Sunday, May 21 (2)",NYY,Home,BAL,L,2.0,3.0,9.0,17-15,3.0,5.5,Barber,Sheldon,Wilhelm,2:37,D,47890.0,2.72,-1,,17,7.0
34,"Monday, May 22",NYY,Home,BAL,W,8.0,2.0,9.0,18-15,3.0,5.5,Coates,Fisher,Arroyo,2:43,N,16923.0,2.52,1,,18,13.0
35,"Wednesday, May 24",NYY,Home,BOS,W,3.0,2.0,9.0,19-15,3.0,6.0,Terry,Nichols,None,2:29,D,7673.0,2.25,2,,19,14.0
