,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
1,"Wednesday, Apr 1",NYY,@,ANA,L,1.0,4.0,9.0,0-1,5.0,1.0,Finley,Pettitte,Percival,2:52,N,43311.0,1.00,-1,,0
2,"Thursday, Apr 2",NYY,@,ANA,L,2.0,10.0,9.0,0-2,5.0,2.0,Hill,Wells,None,3:19,N,29899.0,.95,-2,,0
3,"Saturday, Apr 4",NYY,@,OAK,L,3.0,7.0,9.0,0-3,5.0,3.0,Haynes,Cone,None,2:57,D,17118.0,.93,-3,,0
4,"Sunday, Apr 5",NYY,@,OAK,W,9.0,7.0,10.0,1-3,5.0,3.0,Nelson,Mohler,None,4:15,D,18109.0,.84,1,,1
5,"Monday, Apr 6",NYY,@,SEA,L,0.0,8.0,9.0,1-4,5.0,3.5,Moyer,Pettitte,None,3:08,N,27445.0,.88,-1,,1
6,"Tuesday, Apr 7",NYY,@,SEA,W,13.0,7.0,9.0,2-4,4.0,3.5,Wells,Bullinger,None,3:47,N,28424.0,.88,1,,2
7,"Wednesday, Apr 8",NYY,@,SEA,W,4.0,3.0,9.0,3-4,3.0,3.0,Lloyd,Ayala,Stanton,3:42,D,33922.0,.91,2,,3
8,"Friday, Apr 10",NYY,Home,OAK,W,17.0,13.0,9.0,4-4,2.0,2.5,Buddie,Dougherty,None,4:06,D,56717.0,.93,3,,4
9,"Saturday, Apr 11",NYY,Home,OAK,W,3.0,1.0,9.0,5-4,2.0,2.5,Pettitte,Candiotti,Stanton,3:08,D,33238.0,.99,4,,5
10,"Sunday, Apr 12",NYY,Home,OAK,W,7.0,5.0,9.0,6-4,2.0,2.5,Buddie,Mathews,Stanton,3:16,D,27057.0,1.02,5,,6
11,"Wednesday, Apr 15",NYY,Home,ANA,W,6.0,3.0,9.0,7-4,3.0,2.0,Wells,Hill,Nelson,2:53,D,40743.0,1.04,6,1998-04-15 (Stadium damage; Played at NYN; NYA home team),7
12,"Friday, Apr 17",NYY,@,DET,W,11.0,2.0,9.0,8-4,3.0,0.5,Pettitte,Thompson,None,3:06,N,12348.0,1.07,7,1998-04-17 (Stadium structural problems; Site change),8
13,"Saturday, Apr 18",NYY,@,DET,W,8.0,3.0,9.0,9-4,2.0,0.5,Cone,Keagle,None,3:38,D,13803.0,1.14,8,1998-04-18 (Stadium structural problems; Site change),9
14,"Sunday, Apr 19",NYY,@,DET,L,1.0,2.0,9.0,9-5,3.0,0.5,Moehler,Holmes,Jones,2:47,D,12568.0,1.18,-1,1998-04-19 (Stadium structural problems; Site change),9
15,"Monday, Apr 20",NYY,@,TOR,W,3.0,2.0,11.0,10-5,2.0,0.5,Banks,Risley,Stanton,4:05,N,26385.0,1.21,1,,10
16,"Tuesday, Apr 21",NYY,@,TOR,W,5.0,3.0,10.0,11-5,2.0,0.5,Stanton,Plesac,None,3:24,N,27192.0,1.25,2,,11
17,"Wednesday, Apr 22",NYY,@,TOR,W,9.0,1.0,9.0,12-5,2.0,0.5,Pettitte,Clemens,None,2:50,N,29164.0,1.31,3,,12
18,"Friday, Apr 24",NYY,Home,DET,W,8.0,4.0,9.0,13-5,2.0,0.5,Cone,Keagle,None,3:03,N,26173.0,1.21,4,1998-04-24 (Stadium structural problems; Site change),13
19,"Saturday, Apr 25",NYY,Home,DET,W,5.0,4.0,9.0,14-5,2.0,0.5,Wells,Runyan,Rivera,2:53,D,33196.0,1.23,5,1998-04-25 (Stadium structural problems; Site change),14
20,"Monday, Apr 27",NYY,Home,TOR,W,1.0,0.0,9.0,15-5,2.0,0.5,Pettitte,Clemens,Rivera,2:54,N,17863.0,1.33,6,,15
21,"Tuesday, Apr 28",NYY,Home,TOR,L,2.0,5.0,9.0,15-6,2.0,0.5,Williams,Mendoza,Myers,3:17,N,18727.0,1.30,-1,,15
22,"Wednesday, Apr 29",NYY,Home,SEA,W,8.0,5.0,9.0,16-6,2.0,0.5,Cone,Fassero,Rivera,3:31,N,27949.0,1.33,1,,16
23,"Thursday, Apr 30",NYY,Home,SEA,W,9.0,8.0,10.0,17-6,1.0,up 0.5,Rivera,Ayala,None,4:08,N,28517.0,1.28,2,,17
24,"Friday, May 1",NYY,@,KCR,W,2.0,1.0,9.0,18-6,1.0,up 0.5,Irabu,Rapp,Rivera,2:43,N,19002.0,1.25,3,,18
25,"Saturday, May 2",NYY,@,KCR,W,12.0,6.0,9.0,19-6,1.0,up 1.5,Pettitte,Haney,None,3:27,N,22743.0,1.23,4,,19
26,"Sunday, May 3",NYY,@,KCR,W,10.0,1.0,9.0,20-6,1.0,up 1.5,Mendoza,Belcher,None,2:58,D,22609.0,1.19,5,,20
27,"Tuesday, May 5",NYY,@,TEX,W,7.0,2.0,9.0,21-6,1.0,up 1.5,Cone,Burkett,None,3:26,N,31693.0,1.22,6,,21
28,"Wednesday, May 6",NYY,@,TEX,W,15.0,13.0,9.0,22-6,1.0,up 2.5,Stanton,Patterson,Rivera,4:06,N,33274.0,1.16,7,,22
