,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
0,1,"Friday, Apr 8",boxscore,NYY,,BOS,W,6.0,5.0,11,1-0,1,Tied,King,Crawford,,3:56,D,46097,.97,+,,1,1.0
1,2,"Saturday, Apr 9",boxscore,NYY,,BOS,W,4.0,2.0,,2-0,1,Tied,Luetge,Pivetta,Chapman,2:58,D,46882,1.03,++,,2,3.0
2,3,"Sunday, Apr 10",boxscore,NYY,,BOS,L,3.0,4.0,,2-1,2,1.0,Crawford,Schmidt,Diekman,3:40,N,40108,1.04,-,,2,2.0
3,4,"Monday, Apr 11",boxscore,NYY,,TOR,L,0.0,3.0,,2-2,3,1.0,Manoah,Taillon,Romano,3:03,N,26211,1.05,--,,2,-1.0
4,5,"Tuesday, Apr 12",boxscore,NYY,,TOR,W,4.0,0.0,,3-2,2,1.0,Holmes,Kikuchi,,3:07,N,25068,1.03,+,,3,3.0
5,6,"Wednesday, Apr 13",boxscore,NYY,,TOR,L,4.0,6.0,,3-3,3,1.0,Cimber,Green,Romano,3:10,N,30109,1.06,-,,3,1.0
6,7,"Thursday, Apr 14",boxscore,NYY,,TOR,W,3.0,0.0,,4-3,1,Tied,Severino,Gausman,King,3:06,N,37255,1.02,+,,4,4.0
7,8,"Friday, Apr 15",boxscore,NYY,@,BAL,L,1.0,2.0,11,4-4,2,1.0,Krehbiel,Schmidt,,4:15,N,32197,1.05,-,,4,3.0
8,9,"Saturday, Apr 16",boxscore,NYY,@,BAL,W,5.0,2.0,,5-4,1,Tied,Sears,Lakins,Holmes,3:26,N,28179,1.01,+,,5,6.0
9,10,"Sunday, Apr 17",boxscore,NYY,@,BAL,L,0.0,5.0,,5-5,3,1.0,Lopez,Loaisiga,,3:16,D,25938,1.07,-,,5,1.0
10,11,"Tuesday, Apr 19",boxscore,NYY,@,DET,W,4.0,2.0,,6-5,1,Tied,Schmidt,Alexander,Chapman,3:59,N,15498,1.03,+,,6,3.0
11,12,"Wednesday, Apr 20",boxscore,NYY,@,DET,W,5.0,3.0,,7-5,1,Tied,Green,Hutchison,Chapman,3:06,N,17268,1.08,++,,7,5.0
12,13,"Thursday, Apr 21",boxscore,NYY,@,DET,L,0.0,3.0,,7-6,2,1.0,Pineda,Montgomery,Soto,2:34,D,21529,1.05,-,,7,2.0
13,14,"Friday, Apr 22",boxscore,NYY,,CLE,W,4.0,1.0,,8-6,2,1.0,Taillon,Morgan,Chapman,2:58,N,41062,1.04,+,,8,5.0
14,15,"Saturday, Apr 23",boxscore,NYY,,CLE,W,5.0,4.0,,9-6,2,1.0,Castro,Clase,,2:50,D,39180,1.06,++,,9,6.0
15,16,"Sunday, Apr 24",boxscore,NYY,,CLE,W,10.0,2.0,,10-6,1,Tied,Cole,Civale,,2:43,D,39050,1.09,+++,,10,14.0
16,17,"Tuesday, Apr 26",boxscore,NYY,,BAL,W,12.0,8.0,,11-6,2,0.5,Severino,Lyles,,3:19,N,28596,1.16,++++,,11,18.0
17,18,"Wednesday, Apr 27",boxscore,NYY,,BAL,W,5.0,2.0,,12-6,1,up 0.5,King,Krehbiel,Holmes,2:57,N,31122,1.14,+++++,,12,21.0
18,19,"Thursday, Apr 28",boxscore,NYY,,BAL,W,10.0,5.0,,13-6,1,up 0.5,Castro,Zimmermann,,3:51,D,29268,1.19,++++++,,13,26.0
19,20,"Friday, Apr 29",boxscore,NYY,@,KCR,W,12.0,2.0,8,14-6,1,up 1.5,Cortes,Bubic,,2:58,N,16460,1.22,+++++++,,14,36.0
20,21,"Saturday, Apr 30",boxscore,NYY,@,KCR,W,3.0,0.0,,15-6,1,up 1.5,Cole,Hernandez,Chapman,3:08,N,23965,1.23,++++++++,,15,39.0
22,22,"Sunday, May 1",boxscore,NYY,@,KCR,W,6.0,4.0,,16-6,1,up 1.5,Schmidt,Coleman,Chapman,3:23,D,19704,1.19,+++++++++,,16,41.0
23,23,"Monday, May 2",boxscore,NYY,@,TOR,W,3.0,2.0,,17-6,1,up 2.5,Holmes,Garcia,Green,2:54,N,18577,1.39,++++++++++,,17,42.0
24,24,"Tuesday, May 3",boxscore,NYY,@,TOR,W,9.0,1.0,,18-6,1,up 3.5,Taillon,Cimber,,2:57,N,22491,1.40,+++++++++++,,18,50.0
25,25,"Wednesday, May 4",boxscore,NYY,@,TOR,L,1.0,2.0,,18-7,1,up 2.5,Kikuchi,Cortes,Romano,2:44,N,29057,1.38,-,,18,49.0
26,26,"Sunday, May 8 (1)",boxscore,NYY,,TEX,W,2.0,1.0,,19-7,1,up 2.0,Holmes,King,,2:54,D,,1.22,+,,19,50.0
27,27,"Sunday, May 8 (2)",boxscore,NYY,,TEX,L,2.0,4.0,,19-8,1,up 2.0,Richards,King,Barlow,3:07,D,40714,1.23,-,,19,48.0
